ACTIVE_GOAL -> ACTIVE_GOAL | id=GUI_WIN_ACTIVE_GOAL | GUI_WIN_TYPE_POPUP | 命令=:ENTER_PAGE:ACTIVE_GOAL,1 | 参数1=window_name:ACTIVE_GOAL（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=特殊页面模式，由页面源码的 switch(param) 解释 | 合法值=1=ACTIVE_GOAL_TYPE_STEPS, 2=ACTIVE_GOAL_TYPE_CALORIE, 3=ACTIVE_GOAL_TYPE_TIME | 完整示例=:ENTER_PAGE:ACTIVE_GOAL,1
SOUND_VIBRATION -> SOUND_VIBRATION | id=GUI_WIN_SOUND_VIBRATION | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SOUND_VIBRATION,<uint32_param> | 参数1=window_name:SOUND_VIBRATION（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_AC_GOAL_TIP -> SPORT_AC_GOAL_TIP | id=GUI_WIN_SPORT_AC_GOAL_TIP | GUI_WIN_TYPE_POPUP | 命令=:ENTER_PAGE:SPORT_AC_GOAL_TIP,1 | 参数1=window_name:SPORT_AC_GOAL_TIP（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=特殊页面模式，由页面源码的 switch(param) 解释 | 合法值=1=50%, 2=100%, 3=dis | 完整示例=:ENTER_PAGE:SPORT_AC_GOAL_TIP,1
SPORT_CALORIE_GOAL_LIST -> SPORT_CALORIE_GOAL_LIST | id=GUI_WIN_SPORT_CALORIE_GOAL_LIST | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_CALORIE_GOAL_LIST,<uint32_param> | 参数1=window_name:SPORT_CALORIE_GOAL_LIST（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_COUNT_DOWN -> SPORT_COUNT_DOWN | id=GUI_WIN_SPORT_COUNT_DOWN | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_COUNT_DOWN,<uint32_param> | 参数1=window_name:SPORT_COUNT_DOWN（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_DISTANCE_GOAL_LIST -> SPORT_DISTANCE_GOAL_LIST | id=GUI_WIN_SPORT_DISTANCE_GOAL_LIST | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_DISTANCE_GOAL_LIST,<uint32_param> | 参数1=window_name:SPORT_DISTANCE_GOAL_LIST（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_END_DATA_SHOW -> SPORT_END_DATA_SHOW | id=GUI_WIN_SPORT_END_DATA_SHOW | GUI_WIN_TYPE_NORMAL | 命令=:ENTER_PAGE:SPORT_END_DATA_SHOW,1 | 参数1=window_name:SPORT_END_DATA_SHOW（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=特殊页面模式，由页面源码的 switch(param) 解释 | 合法值=1=距离配速, 2=卡路里 | 完整示例=:ENTER_PAGE:SPORT_END_DATA_SHOW,1
SPORT_GOAL_LIST -> SPORT_GOAL_LIST | id=GUI_WIN_SPORT_GOAL_LIST | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_GOAL_LIST,<uint32_param> | 参数1=window_name:SPORT_GOAL_LIST（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_HABIT_END_POPUP -> SPORT_HABIT_END_POPUP | id=GUI_WIN_SPORT_HABIT_END_POPUP | GUI_WIN_TYPE_POPUP | 语法=:ENTER_PAGE:SPORT_HABIT_END_POPUP,<uint32_param> | 参数1=window_name:SPORT_HABIT_END_POPUP（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_INPROGRESS -> SPORT_INPROGRESS | id=GUI_WIN_SPORT_INPROGRESS | GUI_WIN_TYPE_NORMAL | 命令=:ENTER_PAGE:SPORT_INPROGRESS,1 | 参数1=window_name:SPORT_INPROGRESS（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=特殊页面模式，由页面源码的 switch(param) 解释 | 合法值=1=单卡路里, 2=距离配速 | 完整示例=:ENTER_PAGE:SPORT_INPROGRESS,1
SPORT_INPROGRESS_LEFT -> SPORT_INPROGRESS_LEFT | id=GUI_WIN_SPORT_INPROGRESS_LEFT | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_INPROGRESS_LEFT,<uint32_param> | 参数1=window_name:SPORT_INPROGRESS_LEFT（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_INPROGRESS_RIGHT -> SPORT_INPROGRESS_RIGHT | id=GUI_WIN_SPORT_INPROGRESS_RIGHT | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_INPROGRESS_RIGHT,<uint32_param> | 参数1=window_name:SPORT_INPROGRESS_RIGHT（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_LIST -> SPORT_LIST | id=GUI_WIN_SPORT_LIST | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_LIST,<uint32_param> | 参数1=window_name:SPORT_LIST（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_RECORD -> SPORT_RECORD | id=GUI_WIN_SPORT_RECORD | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_RECORD,<uint32_param> | 参数1=window_name:SPORT_RECORD（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_SAME_TYPE_LIST -> SPORT_SAME_TYPE_LIST | id=GUI_WIN_SPORT_SAME_TYPE_LIST | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_SAME_TYPE_LIST,<uint32_param> | 参数1=window_name:SPORT_SAME_TYPE_LIST（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_SET_LIST_SORT -> SPORT_SET_LIST_SORT | id=GUI_WIN_SPORT_SET_LIST_SORT | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_SET_LIST_SORT,<uint32_param> | 参数1=window_name:SPORT_SET_LIST_SORT（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_SUBMENU -> SPORT_SUBMENU | id=GUI_WIN_SPORT_SUBMENU | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_SUBMENU,<uint32_param> | 参数1=window_name:SPORT_SUBMENU（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_TIME_GOAL_LIST -> SPORT_TIME_GOAL_LIST | id=GUI_WIN_SPORT_TIME_GOAL_LIST | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_TIME_GOAL_LIST,<uint32_param> | 参数1=window_name:SPORT_TIME_GOAL_LIST（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_TYPE_CARD -> SPORT_TYPE_CARD | id=GUI_WIN_SPORT_TYPE_CARD | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_TYPE_CARD,<uint32_param> | 参数1=window_name:SPORT_TYPE_CARD（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SPORT_WIDGET -> SPORT_WIDGET | id=GUI_WIN_SPORT_WIDGET | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SPORT_WIDGET,<uint32_param> | 参数1=window_name:SPORT_WIDGET（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
STOPWATCH -> STOPWATCH | id=GUI_WIN_STOPWATCH | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:STOPWATCH,<uint32_param> | 参数1=window_name:STOPWATCH（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
STRESS -> STRESS | id=GUI_WIN_STRESS | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:STRESS,<uint32_param> | 参数1=window_name:STRESS（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
STRESS_DETAIL -> STRESS_DETAIL | id=GUI_WIN_STRESS_DETAIL | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:STRESS_DETAIL,<uint32_param> | 参数1=window_name:STRESS_DETAIL（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
STRESS_MEASURE -> STRESS_MEASURE | id=GUI_WIN_STRESS_MEASURE | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:STRESS_MEASURE,<uint32_param> | 参数1=window_name:STRESS_MEASURE（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
STRESS_MEASURE_APP -> STRESS_MEASURE_APP | id=GUI_WIN_STRESS_MEASURE_APP | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:STRESS_MEASURE_APP,<uint32_param> | 参数1=window_name:STRESS_MEASURE_APP（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
SYSTEM_INFO -> SYSTEM_INFO | id=GUI_WIN_SYSTEM_INFO | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:SYSTEM_INFO,<uint32_param> | 参数1=window_name:SYSTEM_INFO（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TELEPHONY -> TELEPHONY | id=GUI_WIN_TELEPHONY | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:TELEPHONY,<uint32_param> | 参数1=window_name:TELEPHONY（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TELEPHONY_CALL -> TELEPHONY_CALL | id=GUI_WIN_TELEPHONY_CALL | GUI_WIN_TYPE_POPUP | 语法=:ENTER_PAGE:TELEPHONY_CALL,<uint32_param> | 参数1=window_name:TELEPHONY_CALL（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TELEPHONY_CONTACT -> TELEPHONY_CONTACT | id=GUI_WIN_TELEPHONY_CONTACT | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:TELEPHONY_CONTACT,<uint32_param> | 参数1=window_name:TELEPHONY_CONTACT（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TELEPHONY_DIAL -> TELEPHONY_DIAL | id=GUI_WIN_TELEPHONY_DIAL | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:TELEPHONY_DIAL,<uint32_param> | 参数1=window_name:TELEPHONY_DIAL（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TELEPHONY_INCOMING -> TELEPHONY_INCOMING | id=GUI_WIN_TELEPHONY_INCOMING | GUI_WIN_TYPE_POPUP | 语法=:ENTER_PAGE:TELEPHONY_INCOMING,<uint32_param> | 参数1=window_name:TELEPHONY_INCOMING（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TELEPHONY_OUTGOING -> TELEPHONY_OUTGOING | id=GUI_WIN_TELEPHONY_OUTGOING | GUI_WIN_TYPE_POPUP | 语法=:ENTER_PAGE:TELEPHONY_OUTGOING,<uint32_param> | 参数1=window_name:TELEPHONY_OUTGOING（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TELEPHONY_PRE_OUTGOING -> TELEPHONY_PRE_OUTGOING | id=GUI_WIN_TELEPHONY_PRE_OUTGOING | GUI_WIN_TYPE_POPUP | 语法=:ENTER_PAGE:TELEPHONY_PRE_OUTGOING,<uint32_param> | 参数1=window_name:TELEPHONY_PRE_OUTGOING（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TELEPHONY_RECORD -> TELEPHONY_RECORD | id=GUI_WIN_TELEPHONY_RECORD | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:TELEPHONY_RECORD,<uint32_param> | 参数1=window_name:TELEPHONY_RECORD（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TELEPHONY_SMS -> TELEPHONY_SMS | id=GUI_WIN_TELEPHONY_SMS | GUI_WIN_TYPE_POPUP | 语法=:ENTER_PAGE:TELEPHONY_SMS,<uint32_param> | 参数1=window_name:TELEPHONY_SMS（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TELEPHONY_SOS -> TELEPHONY_SOS | id=GUI_WIN_TELEPHONY_SOS | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:TELEPHONY_SOS,<uint32_param> | 参数1=window_name:TELEPHONY_SOS（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TELEPHONY_VOLUME -> TELEPHONY_VOLUME | id=GUI_WIN_TELEPHONY_VOLUME | GUI_WIN_TYPE_POPUP | 语法=:ENTER_PAGE:TELEPHONY_VOLUME,<uint32_param> | 参数1=window_name:TELEPHONY_VOLUME（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TIMER_ADD -> TIMER_ADD | id=GUI_WIN_TIMER_ADD | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:TIMER_ADD,<uint32_param> | 参数1=window_name:TIMER_ADD（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TIMER_DETAILS -> TIMER_DETAILS | id=GUI_WIN_TIMER_DETAILS | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:TIMER_DETAILS,<uint32_param> | 参数1=window_name:TIMER_DETAILS（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TIMER_END -> TIMER_END | id=GUI_WIN_TIMER_END | GUI_WIN_TYPE_POPUP | 语法=:ENTER_PAGE:TIMER_END,<uint32_param> | 参数1=window_name:TIMER_END（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TIMER_LIST -> TIMER_LIST | id=GUI_WIN_TIMER_LIST | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:TIMER_LIST,<uint32_param> | 参数1=window_name:TIMER_LIST（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TIME_SETTING -> TIME_SETTING | id=GUI_WIN_TIME_SETTING | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:TIME_SETTING,<uint32_param> | 参数1=window_name:TIME_SETTING（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TIME_SETTING_TIP -> TIME_SETTING_TIP | id=GUI_WIN_TIME_SETTING_TIP | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:TIME_SETTING_TIP,<uint32_param> | 参数1=window_name:TIME_SETTING_TIP（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
TITAN_Q -> TITAN_Q | id=GUI_WIN_TITAN_Q | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:TITAN_Q,<uint32_param> | 参数1=window_name:TITAN_Q（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
UNBOUND_TIMER_TIP -> UNBOUND_TIMER_TIP | id=GUI_WIN_UNBOUND_TIMER_TIP | GUI_WIN_TYPE_POPUP | 语法=:ENTER_PAGE:UNBOUND_TIMER_TIP,<uint32_param> | 参数1=window_name:UNBOUND_TIMER_TIP（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
UNDER_18_TIP -> UNDER_18_TIP | id=GUI_WIN_UNDER_18_TIP | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:UNDER_18_TIP,<uint32_param> | 参数1=window_name:UNDER_18_TIP（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
UTILITIES -> UTILITIES | id=GUI_WIN_UTILITIES | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:UTILITIES,<uint32_param> | 参数1=window_name:UTILITIES（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
VIBRATION_STRENGTH -> VIBRATION_STRENGTH | id=GUI_WIN_VIBRATION_STRENGTH | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:VIBRATION_STRENGTH,<uint32_param> | 参数1=window_name:VIBRATION_STRENGTH（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
VOICE_ASSISTANT_INTERACTION -> VOICE_ASSISTANT_INTERACTION | id=GUI_WIN_VOICE_ASSISTANT_INTERACTION | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:VOICE_ASSISTANT_INTERACTION,<uint32_param> | 参数1=window_name:VOICE_ASSISTANT_INTERACTION（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
VOLUME_ADJUST -> VOLUME_ADJUST | id=GUI_WIN_VOLUME_ADJUST | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:VOLUME_ADJUST,<uint32_param> | 参数1=window_name:VOLUME_ADJUST（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
WEATHER_HOME -> WEATHER_HOME | id=GUI_WIN_WEATHER_HOME | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:WEATHER_HOME,<uint32_param> | 参数1=window_name:WEATHER_HOME（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
WEIGHT_EDIT -> WEIGHT_EDIT | id=GUI_WIN_WEIGHT_EDIT | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:WEIGHT_EDIT,<uint32_param> | 参数1=window_name:WEIGHT_EDIT（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
WHETHER_TO_BIND -> WHETHER_TO_BIND | id=GUI_WIN_WHETHER_TO_BIND | GUI_WIN_TYPE_POPUP | 语法=:ENTER_PAGE:WHETHER_TO_BIND,<uint32_param> | 参数1=window_name:WHETHER_TO_BIND（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
WORLD_CLOCK -> WORLD_CLOCK | id=GUI_WIN_WORLD_CLOCK | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:WORLD_CLOCK,<uint32_param> | 参数1=window_name:WORLD_CLOCK（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
